영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO)
Capitan FAP Renan Elias Olivera Airport,카피탄 FAP 레난 엘리아스 올리베라 공항,PIO,SPSO
Capitan FAP Victor Montes Arias,카피탄 FAP 빅토르 몬테즈 아리아스 공항,TYL,SPYL
Capitan Rolden Airport,카피탄 롤덴 공항,PCL,SPCL
Capitan Vicente Almandos Amonacide Airport,카피탄 빈센트 알만도스 아모나시드 공항,IRJ,SANL
Capitolio Airport ,카피톨리오 공항 ,FLA,SKFL
Capurgana Airport,카퍼가나 공항,CPB,SKCA
Carajas Airport,카라쟈스 공항,CKS,SBCJ
Cardak Airport,차르닥 공항,DNZ,LTAY
Cardiff International Airport,카디프 국제공항,CWL,EGFF
Carlisle Airport,칼라일 공항,CAX,EGNC
Carnarvon Airport,카나번 공항,CVQ,YCAR
Carpiquet Airport,카르피께 공항,CFR,LFRK
Carrasco Airport,체러스코 공항,MVD,SUMU
Carsamba Airport,챨삼바 공항,SZF,LTFH
Caruru Airport,카루 공항,CUO,SKCR
Casselman Airport,카젤만공항,XZB,LEPZ
Castro Pinto Airport,카스트로 핀토 공항,JPA,SBJP
Cataratas International Airport ,카타라타스 국제공항 ,IGR,SARI
Catarman National Airport,카타르만 내셔널 공항,CRM,RPVF
Catbi Airport,카트비 공항,HPH,VVCI
Catumbela Airport,카툼벨라 공항,CBT,FNCT
Cauayan Airport,카우아얀 공항,CYZ,RPUY
Caucasia Airport,코카시아 공항,CAQ,SKCU
Caucay Airport,코카야 공항,LQM,SKLG
Cavancha Airport,카라반챠 공항,IQQ,SCDA
Ceduna Airport,세두나 공항,CED,YCDU
Cengiz Topel Naval Air Station,Cengiz Topel 해군 비행장,KCO,LTBQ
Central Illinois Regional Airport ,센트럴 일리노이스 지역공항,BMI,KBMI
Central Wisconsin Airport,센트럴 위스콘신 공항,CWA,KCWA
Cergy Pontoise Airport ,세르지 퐁트와즈 공항 ,POX,LFPT
Cerro Moreno Airport,세로 모레노 공항,ANF,SCFA
Ceuta Heliport,세우타 헬리포트,JCU,GECE
Cha Ian Airport,챠 란 공항,NST,VTSN
Chabeuil Airport,샤뵈이 공항,VAF,LFLU
Chabua Airport,츄부아 공항,DIB,VEMN
Chacalluta Airport,챠깔루타 공항,ARI,SCAR
Chachapoyas Airport,차차포야스 공항,CHH,SPPY
Chakeri Air Force Station,챠케리 공군기지,KNU,VICX
Chalon-Champforgeuil Airport,샬롱-Champforgeuil 공항,XCD,LFLH
Chalons Vatry Airport,샬롱 배트리 공항,XCR,LFOK
Chambery Aix-les-Bains Airport,샹베리 액스레뱅 공항,CMF,LFLB
Chandigarh Airport / Chandigarh Air Force Base,찬디가르 공항,IXC,VICG
Changbaishan Airport,창바이산 공항,NBS,ZYBS
Changchun Dafangshen International Airport,창춘 다팡쉔 국제공항,CGQ,ZYCC
Changde Taohuayuan Airport,창덕 타오화원 공항,CGD,ZGCD
Changhai Airport,창 하이 공항,CNI,ZYCH
Changi Airport,창이 공항,SIN,WSSS
Changsha Huanghua International Airport,창사 황화 국제공항,CSX,ZGHA
Changzhi Airport,창즈 공항,CIH,ZBCZ
Changzhou Airport,창저우 공항,CZX,ZSCG
Chaoyang Airport,조양 공항,CHG,ZYCY
Charif al Idrissi Airport,샤리프 알 잇드리시 공항,AHU,GMTA
Charleroi Airport ,챨레로이 공항 ,CRL,EBCI
Charles De Gaulle Airport,샤를 드 골 공항,CDG,LFPG
Charleston International Airport ,찰스턴 국제공항 ,CHS,KCHS
Charleville Airport,샤를빌 공항,CTL,YBCV
Charlotte / Douglas International Airport,샬럿 더글라스 국제공항,CLT,KCLT
Charlottesville-Albemarle Airport,샤로트빌 앨버마를 공항,CHO,KCHO
Charlottetown Airport,샬롯타운 공항,YYG,CYYG
Chateauroux-Deols Airport,샤토룩스 데올 공항,CHR,LFLX
Chattanooga Metropolitan Airport,채터누가 메트로폴피탄 공항,CHA,KCHA
Chavenay - Villepreux Airport,샤브네 - 빌프뢰 공항,XZX,LFPX
Cheboksary Airport,체복사리 공항,CSY,UWKS
Cheddi Jagan International Airport ,체디 자간 국제공항 ,GEO,SYCJ
Chengde Puning Airport,승덕푸닝 공항,CDE,ZBCD
