영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO)
Ippokratis International Airport ,히포크라테스 국제공항 ,KGS,LGKO
Iranshahr Airport,Iranshahr 공항,IHR,OIZI
Ireland West Airport Knock,아일랜드 웨스트 녹크 공항,NOC,EIKN
Irkutsk International Airport,이르쿠츠크 국제공항,IKT,UIII
Isafjordur Airport,이사표도르 공항,IFJ,BIIS
Isfahan International Airport ,이스파한 국제공항 ,IFN,OIFM
Ishigaki Airport,이시가키 공항,ISG,ROIG
Isla Grande Airport,이슬라 그란데 공항,SIG,TJIG
Islas Malvinas Airport,이슬라스 말비나스 공항,USH,SAWH
Istanbul Ataturk Airport,아타튀르크 공항,ISL,LTBA
Itaituba Airport,이타이 투바 공항,ITB,SBIH
Itami Airport,이타미 공항,ITM,RJOO
Ivalo Airport,이바로 공항,IVL,EFIV
Ivanka Airport,이반카 공항,BTS,LZIB
Ivano-Frankivsk Airport,이바노-프랭코브스크 공항,IFO,UKLI
Ivato International Airport,아바토 국제공항,TNR,FMMI
Iwami Airport,이와미 공항,IWJ,RJOW
Ixtepec Airport,익스테펙 공항,IZT,MMIT
Izhevsk Airport,이제프스크 공항,IJK,USII
Izumo Airport,이즈모 공항,IZO,RJOC
J G H Van der Wath Airport,J.G.H 반 데르 와스 공항,KMP,FYKT
J. Paul II Balice International Airport,J. 폴 투 밸리스 국제공항,KRK,EPKK
J. Wilsterman Airport,J. 윌스트먼 공항,CBB,SLCB
Jabalpur Airport,자발푸르 공항,JLR,VAJB
Jacarepagua Airport,자카레파과 공항,RRJ,SBJR
Jackson-Evers International Airport,잭슨 에버스 국제공항,JAN,KJAN
Jacksonville International Airport,잭슨빌 국제공항,JAX,KJAX
Jaen Airport,하엔 공항,JAE,SPJE
Jagdalpur Airport,자그달푸르 공항,JGB,VE46
Jahrom Airport,Jahrom 공항,JAR,OISJ
Jaime Gonzalez Airport,하이메 곤잘레스 공항,CFG,MUCF
Jaisalmer Airport,자이살머 공항,JSA,VIJR
Jalgaon Airport,할 가온 공항,JLG,VAJL
James M. Cox International Airport,제임스 M. 콕스 국제공항,DAY,KDAY
Jasionka Airport,자시온카 공항,RZE,EPRZ
Jeju International Airport,제주 국제공항,CJU,RKPC
Jersey States Airport,저지 스테이츠 공항,JER,EGJJ
Jharsuguda Airport,자르수구다 공항,JRG,VEJH
Jiagedaqi Airport,지가게퀴 공항,JGD,ZYJD
Jiamusi Airport,자무쓰 공항,JMU,ZYJM
Jiansanjiang Airport,지산항주 공항,JSJ,XYJS
Jijel / Ferhat Abbas Airport,지젤 퍼헷 하버스 공항,GJL,DAAV
Jinan Yaoqiang Airport,지난 야오칭 공항,TNA,ZSJN
Jinchang Jinchuan Airport,진창 진천 공항,JIC,ZLJC
Jindal Vijaynagar Airport,진달 비자이나가르 공항,VDY,VOJV
Jing Gang Shan Airport,징강산 공항,JGS,ZSJA
Jingdezhen Airport,징더전 공항,JDZ,ZSJD
Jining Airport,지닝 공항,JNG,ZLJN
Jinzhou Airport,진저우 공항,JNZ,ZYJZ
Jiroft Airport,Jiroft 공항,JYR,OIKJ
Jiu Zhai Huang Long Airport,지우쟈이황 공항,JZH,ZUJZ
Jiujiang Lushan Airport,주장 류샨 공항,JIU,ZSJJ
Jiuquan Airport,주취안 공항,JGN,ZLJQ
Jixi Xingkaihu Airport,Jixi Xingkaihu Airport,JXA,ZYJX
Joao Suassuna Airport,자오 수아순나 공항,CPV,SBKG
Jodhpur Airport / Jodhpur Air Force Base,조드푸르 공항,JDH,VIJO
Joensuu Airport,조엔수 공항,JOE,EFJO
John C. Munro Hamilton International Airport,존 C. 먼론 해밀턴 공항,YHM,CYHM
John F Kennedy International Airport,존 F. 케네디 국제공항,JFK,KJFK
John Glenn Columbus International Airport,존 글렌 콜럼버스 국제공항,CHM,KCMH
John Lennon Airport,존 레논 공항,LPL,EGGP
John Wayne-Orange County Airport,존 웨인 오렌지 카운티 공항,SNA,KSNA
Jojo Simes Lopes Neto International Airport,Jojo Simes Lopes 네토 국제 공항,PET,SBPK
Jolly Grant Airport,졸리 그란트 공항,DED,VIDN
Jolo Airport,조로 공항,JOL,RPMJ
Jomo Kenyatta International Airport,조모 케냐타 국제공항,NBO,HKJK
Jorge Chavez International Airport,호르헤 샤베즈 국제공항,LIM,SPIM
Jos Airport,조스 공항,JOS,DNJO
Jos Aponte de la Torre Airport,Jos Aponte de la Torre Airport,NRR,TJRV
Jose Celestino Mutis Airport,호세 셀레스티노 무치스 공항,BSC,SKBS
Jose Maria Cordova International Airport,호세 마리아 코르도바 국제공항,MDE,SKRG
Jose Marti International Airport,호세 마르티 국제공항,HAV,MUHA
Joshua Mqabuko Nkomo International Airport,조슈아 쿠브쿠 코모 국제공항,BUQ,FVBU
Joslin Field - Magic Valley Regional Airport,조슬린 필드 매직 밸리 지역공항,TWF,KTWF
Juan Manuel Galvez International Airport,후안 마누엘 갈베즈 국제공항,RTB,MHRO
Juan Santamaria International Airport,후안 산타마리아 국제공항,SJO,MROC
Juan Simons Vela Airport,후안 시몬스 벨라 공항,RIJ,SPJA
Juanda International Airport,주안다 국제공항,SUB,WARR
Juanjui Airport,후안후이 공항,JJI,SPJI
Juazeiro Do Norte Regional do Cariri Airport,주아제이로 도 노르 공항,JDO,SBJU
Junmachi Airport,준마치 공항,GAJ,RJSC
Jyvaskyla Airport,지바스키라 공항,JYV,EFJY
Kadala Airport,카달랴 공항,HTA,UIAA
Kaduna International Airport,카두나 국제공항,KAD,DNKA
Kagoshima Airport,가고시마 공항,KOJ,RJFK
Kahramanmaras Airport,카라만마라슈 공항,KCM,LTCN
Kahului Airport,카후루이 공항,OGG,PHOG
Kaili Huangping Airport,카일리 후핑핑 공항,KJH,ZUKJ
Kajaani Airport,카야니 공항,KAJ,EFKI
Kalaburagi Airport,칼라부라기 공항,GBI,VOGB
Kalaleh Airport,Kalaleh 공항,KLM,OINE
Kalamata International Airport,칼라마타 국제공항,KLX,LGKL
Kalgoorlie-Boulder Airport,캘굴리 볼더 공항,KGI,YPKG
Kalibo Airport,칼리보 공항,KLO,RPVK
Kallax Airport,칼락스 공항,LLA,ESPA
Kallinge Airport,칼링지 공항,RNB,ESDF
Kalmar Airport,칼마르 공항,KLR,ESMQ
Kaluga Airport,칼루가 공항,KLF,UUBC
Kalymnos Island National Airport,칼림 노스섬 내셔널 공항,JKL,LGKY
Kamloops Airport,캄룹스 공항,YKA,CYKA
Kanas Airport,카나스 공항,KJI,ZWKN
Kangding Airport,캉딩 공항,KGT,ZUKD
Kannur International Airport,칸누르 국제공항,CNN,VOKN
Kansai International Airport,간사이 국제공항,KIX,RJBB
Kansas City Downtown Airport,캔자스시티 다운타운 공항,MKC,KMKC
Kansas City International Airport,캔자스시티 국제공항,MCI,KMCI
Kaohsiung International Airport,카오징 국제공항,KHH,RCKH
Karamay Airport,커라마이 공항,KRY,ZWKM
Karlovy Vary International Airport,카를로비바리 국제공항,KLV,LKKV
Karlstad Airport,칼스타드 공항,KSD,ESOK
Karmoy Airport,카모이 공항,HAU,ENHD
Karpathos Island National Airport,카파토스 아일랜드 내셔널 공항,AOK,LGKP
Karratha Airport,카라타 공항,KTA,YPKA
Kars Airport,카르스 공항,KSY,LTCF
Karup Airport,카루프 공항,KRP,EKKA
Kasane Airport,카세인 공항,BBK,FBKE
Kashgar Airport ,카스 지역공항,KHG,ZWSH
Kassos Island Public Airport,카소스 아일랜드 퍼블릭 공항,KSJ,LGKS
Kastamonu Airport,카스타모누 공항,KFS,LTAL
Kastelorizo Island Public Airport,카스텔로리조 아일랜드 퍼블릭 공항,KZS,LGKJ
Katiu Airport,카티 공항,KXU,NTKT
Katsina Airport,Katsina 공항,DKA,
Kauehi Airport,카우에히 공항,KHZ,NTKA
Kauhava Airport,코하바 공항,KAU,EFKA
Kaukura Airport,카우쿠라 공항,KKR,NTGK
Kaunas International Airport,카우나스 국제공항,KUN,EYKA
Kavala International Airport ,카발라 국제공항 ,KVA,LGKV
Kayseri Erkilet International Airport,카이세리 얼카일렛 국제공항,ASR,LTAU
Kazan Airport,카잔한국 공항,KZN,UWKD
Kazi Nazrul Islam Airport,Kazi Nazrul 이슬람 공항,RDP,VEDG
Kefalonia Island International Airport ,케팔로니아 아일랜드 국제공항 ,EFL,LGKF
Keflavik International Airport ,케이플라비크 국제공항,KEF,BIKF
Kelowna,켈로너,YLW,CYLW
Kemi-Tornio Airport,케미 토니오 공항,KEM,EFKE
Kemorovo Airport,케메로보 공항,KEJ,UNEE
Keperveyem Airport,Keperveyem 공항,KPW,UHMK
Kerama Airport,케라마 공항,KJP,ROKR
Kerman Airport,케르만 공항,KER,OIKK
Kertajati International Airport,케르타자티 국제공항,KJT,WICA
Khajuraho Airport,카주라호 공항,HJR,VAKJ
Khanty-Mansiysk Airport,한티 - 만시스크 공항,HMA,USHH
Kharga Airport,카르가 공항,UVL,HENV
Kharkiv Osnova International Airport,카르키브 오스노바 국제공항,HRK,UKHH
Khartoum Civil Airport,하르툼 시빌 공항,KRT,HSSS
Khatanga Airport,카탕가 공항,HTG,UOHH
Kheria Airport ,케리아 공항 ,AGR,VIAG
Kherson International Airport,헤르손 국제 공항,KHE,UKOH
Khon Kaen Airport,콘캔 공항,KKC,VTUK
Khoram Abad Airport,코람아밧 공항,KHD,OICK
Khoy Airport,Khoy 공항,KHY,OITK
Khrabrovo Airport,크라브로포 공힝,KGD,UMKK
Kigali International Airport,키갈리 국제공항 ,KGL,HRYR
Kigoma Airport,키고마 공항,TKQ,HTKA
Kijang Airport,키쟝 공항,TNJ,WIDN
Kikai Airport,키카이 공항,KKX,RJKI
Kilimanjaro International Airport ,킬리만자로 국제공항 ,JRO,HTKJ
Kimberley Airport,킴벌리 공항,KIM,FAKM
King Abdul Aziz International Airport,킹 압둘아지즈 국제공항,JED,OEJN
King Fahad International Airport,킹 파야드 국제공항,DMM,OEDF
King Island Airport,킹아일랜드 공항,KNS,YKII
King Khalid International Airport,킹 칼리드 국제공항,RUH,OERK
King Mswati III International Airport,킹므와 티 III 국제 공항,SHO,FDSK
King Pyrros Airport ,킹 피로스 공항 ,IOA,LGIO
King Shaka International Airport,킹샤카 국제공항,DUR,FALE
Kingscote Airport,킹스코트 공항,KGC,YKSC
Kingsford Smith Airport ,킹스포트 스미스 공항 ,SYD,YSSY
Kinmen Airport,진먼 공항,KNH,RCBS
Kirkwall Airport,커크월 공항,KOI,EGPA
Kirov Airport,키로프 공항,KVX,USKK
Kiruna Airport,키루나 공항,KRN,ESNQ
Kisauni Airport,키자우니 공항,ZNZ,HTZA
Kish Airport,커쉬 공항,KIH,OIBK
Kishangarh Airport,키샨 가르 공항,KQH,VIKG
Kita-Daito Airport,기카 다이토 공항,KTD,RORK
Kithira Island National Airport,키시라 아일랜드 내셔널 공항,KIT,LGKC
Kittila Airport,키틸라 공항,KTT,EFKT
Kjaerstad Airport,키열스타트 공항,MJF,ENMS
Kjevik Airport,키예빅 공항,KRS,ENCN
Klagenfurt Airport,클라겐푸르트 공항,KLU,LOWK
Kobe Airport,고베 공항,UKB,RJBE
Kochi Airport,고치 공항,KCZ,RJOK
Kogalym Airport,코갤름 공항,KGP,USRK
Kokura Airport,고쿠라 공항,KKJ,RJFR
Kolda North Airport,콜다 공항,KDA,GOGK
Kolhapur Airport,콜하푸르 공항,KLH,VAKP
Koltsovo International Airport ,콜트소보 국제공항 ,SVX,USSS
Komaki Airport,코마키 공항,NKM,RJNA
Komatsu Airport,코마쓰 공항,KMQ,RJNK
Komsomolsk-on-Amur Airport,콤소몰스크-어-아무르 공항,KXK,UHKK
Kona International Airport ,코나 국제공항 ,KOA,PHKO
Konarak Airport,코나락 공항,ZBR,OIZC
Kone Airport,콘 공항,KNQ,NWWD
Konya Airport,코니아 공항,KYA,LTAN
Kopitnari Airport,코핏나리 공항,KUT,UGKO
Korla Airport,쿠얼러 고이륵 공항,KRL,ZWKL
Kota Airport,코타 공항,KTU,VIKO
Kota Kinabalu International Airport,코타키나발루 국제공항,BKI,WBKK
Kotoka Airport,코타카 공항,ACC,DGAA
Kowanyama Airport,코와야마 공항,KWM,YKOW
Krabi Airport,크라비 공항,KBV,VTSG
Kramfors Airport,크람포르스 공항,KRF,ESNK
Kranebitten Airport,크래인비튼 공항,INN,LOWI
Krasnoyarsk Yemelyanovo Airport,크로스노야르스크 공항,KJA,UNKL
Kristianstad Airport,크리스티안스타드 공항,KID,ESMK
Kruger Mpumalanga International Airport,쿠루거 음푸마랑가 국제공항,MQP,FAKN
Krumovo International Airport,쿠루모포 국제공항,PDV,LBPD
Kruunupyy Airport,쿠루누피 공항,KOK,EFKK
Kuala Lumpur International Airport,콸라룸푸르 국제공항,KUL,WMKK
Kualanamu International Airport,쿠알라룸푸 국제 공항,KNO,WIMM
Kuantan Airport,콴탄 공항,KUA,WMKD
Kuching International Airport,쿠칭 국제공항,KCH,WBGG
Kudat Airport,쿠닷 공항,KUD,WBKT
Kumamoto Airport,구마모토 공항,KMJ,RJFT
Kumbhirgram Airport,쿰비히그람 공항,IXS,VEKU
Kumejima Airport,큐메지마 공항,UEO,ROKJ
Kungsangen Airport,쿤상겐 공항,NRK,ESSP
Kunming Changshui International Airport,쿤밍 창수이 국제공항,KMG,ZPPP
Kununurra Airport,쿤누누라 공항,KNX,YPKU
Kuopio Airport,쿠오피오 공항,KUO,EFKU
Kuqa Airport,쿠가 공항,KCA,ZWKC
Kursk Vostochny Airport,쿠르스크 보스토치니 공항,URS,UUOK
Kurumoch Airport,쿠루모치 공항,KUF,UWWW
Kushiro Airport,쿠시로 공항,KUH,RJCK
Kuusamo Airport,쿠사모 공항,KAO,EFKS
Kuwait International Airport,쿠웨이트 국제공항,KWI,OKBK
Kvernberget Airport,크베르베르케트 공항,KSU,ENKB
Kyzyl Airport,키질 공항,KYZ,UNKY
L. F. Wade International Airport ,엘에프 웨이드 국제공항 ,BDA,TXKF
La Aurora International Airport,라 오로라 국제공항,GUA,MGGT
La Baule - Escoublac,라볼 에스쿠블랑 공항,LBY,LFRE
La Calera Airport ,라 칼레라 공항 ,ZCL,MMZC
La Desirade Airport,그란데 안세 공항,DSD,TFFA
La Florida Airport,라 플로리다 공항,TCO,SKCO
La Garenne Airport,라 가레나 공항,AGF,LFBA
La Gomera Airport,라 고메라 공항,GMZ,GCGM
La Guardia International Airport,라구아디아 국제공항,LGA,KLGA
La Isabela International Airport,라이사벨라 국제공항,JBQ,MDJB
La Macarena Airport,라마카레나 공항,LMC,SKNA
La Marguita Airport,라 마르귀타 공항,NVA,SKNV
La Mina Airport,라 미나 공항,MCJ,SKLM
La Mole Airport,라몰 공항,LTT,LFTZ
La Palma Airport,라 팔마 공항,SPC,GCLA
La Parra Airport,라 파라 공항,XRY,LEJR
La Pedrera Airport,라페드레라 공항,LPD,SKLP
La Roche Airport,라 로쉐 공항,MEE,NWWR
La Romana International Airport,라로마나 국제공항,LRM,MDLR
La Tontouta International Airport,라 톤투타 국제공항,NOU,NWWW
La Union Airport ,라 유니온 공항 ,POP,MDPP
La Vanguardia Airport,라 방가디아 공항,VVC,SKVV
Laage Airport,라아게 공항,RLG,ETNL
Labo Airport,라보 공항,OZC,RPMO
Labuan Airport,라부앙 공항,LBU,WBKL
Lafayette Regional Airport,라피엣 공항,LFT,KLFT
Lahad Datu Airport,라하드다투 공항,LDU,WBKD
Lai Bahadur Shastri Airprot ,라이 바하두르 샤스트리 공항,VNS,VIBN
Laishan Airport,라이샨 공항,YNT,ZSYT
Lajes Airport,라예즈 공항,TER,LPLA
Lake Manyara Airport,레이크마냐라 공항,LKY,HTLM
Laleu Airport,랄레우 공항,LRH,LFBH
Lambert Saint Louis International Airport,램버트 세인트루이스 국제공항,STL,KSTL
Lamentin Airport,라멩탱 공항,FDF,TFFF
Lamerd Airport,Lamerd 공항,LFM,OISR
Lamezia Terme Airport ,라메찌아 테메 공항 ,SUF,LICA
Lampang Airport,람팡 공항,LPT,VTCL
Lampedusa Airport,람페두사 공항,LMP,LICD
Lancang Jingmai Airport,란창 징마 공항,JMJ,ZPJM
Lands End Airport,랜즈 엔드 공항,LEQ,EGHC
Landvetter Airport ,란베터 공항,GOT,ESGG
Langkawi Airport,랑카위 공항,LGK,WMKL
Lankaran International Airport,스리랑카 국제공항,LLK,UBBL
Lann Bihoue Airport,란 비호웨 공항,LRT,LFRH
Lansing Capital City Airport,랜싱 캐피탈시티 공항,LAN,KLAN
Lanyu Airport,란위 공항,KYD,RCLY
Lanzhou Airport,란저우 공항,LHW,ZLLL
Laoag International Airport,라오그 국제공항,LAO,RPLI
Lappeenranta Airport,라펜란타 공항,LPP,EFLP
Larestan International Airport,라르스탄 국제공항,LRR,OISL
Larnaca International Airport,라르나카 /라나카 국제공항,LCA,LCLK
Las America International Airport ,라스 아메리카 국제공항 ,SDQ,MDSD
Las Bajadas Airport,라 바자다스 공항,VER,MMVR
Las Brujas Airport,라스 부루자스 공항,CZU,SKCZ
Las Higueras Airport,라스 히게라스 공항,RCU,SAOC
Launceston Airport,론서스턴 공항,LST,YMLT
Laval Entrammes Airport,라발 앙트램스 공항,LVA,LFOV
Laverton Airport,라버튼 공항,LTO,YLTN
Lawas Airport,라와스 공항,LWY,WBGW
Lawica Airport,라위카 공항,POZ,EPPO
Lawrence J. Timmerman Airport,로렌스 J. 팀머만 공항,MWC,KMWC
Le Bourget Airport,르부르제 공항,LBG,LFPB
Le Castellet Airport,르캐스텔렛 공항,CTT,LFMQ
Le Raizet Airport,르 레제 공항,PTP,TFFR
Le Sequestre Airport,레 세퀘스트 공항,LBI,LFCI
Le Touquet-Paris-Plage Airport,르투켓 공항,LTQ,LFAT
Learmonth Airport / RAAF Base Learmonth ,리어먼스 공항,LEA,YPLM
Lech Watesa Airport,레히 바웨사 공항,GDN,EPGD
Leeds Bradford International Airport,리즈 브랫포드 국제공항,LBA,EGNM
Legazpi Airport,레가스페 공항,LGP,RPLP
Leger Airport,레저 공항 ,CBH,DAOR
Leh Air Force Base,레 공군기지,IXL,VILH
Lehigh Valley International Airport,리하이 밸리 국제공항,ABE,KABE
Leipzig/Halle Airport ,라이프치히/할레 지역공항,LEJ,EDDP
Leirin Airport,레이린 공항 ,VDB,ENFG
Leite Lopes Airport,라이테 로페즈 공항,RAO,SBRP
Leknes Airport,레크네스 공항,LKN,ENLK
Lemnos International Airport,레노스 국제공항,LXS,LGLM
Lennart Meri Tallinn Airport,레나르 메리 탈린 공항,TLL,EETN
Lensk Airport,Lensk 공항,ULK,UERL
Leon Airport,레온 공항,LEN,LELN
Leon Mba Airport,레온 음바 공항,LBV,FOOL
Leopold Sedar Senghor Airport,레오로드 세다르 셍고르 공항,DKR,GOOY
Leros Airport,레로스 공항,LRS,LGLE
Lerwick/Tingwall Airport,러윅 팅월 공항,LWK,EGET
Les Ajoncs Airport,레 아종크,EDM,LFRI
Les Angades Airport,레스 안가데스 공항,OUD,GMFO
Les Bases Airport,레 바제 공항,GBJ,TFFM
Les Saintes Airport,레 생테즈 공항,LSS,TFFS
Les Salines Airport ,레 살린 공항 ,AAE,DABB
Lesquin Airport,레스킨 공항,LIL,LFQQ
Levaldigi Airport,레발디지 공항,CUF,LIMZ
Lewiston-Nez Perce County Airport,루이스턴 네즈 퍼스 카운티 공항,LWS,KLWS
Lhasa Gonggar Airport,라싸 공가 공항,LXA,ZULS
Lianyungang Airport,롄윈강 공항,LYG,ZSLG
Libo Airport,Libo 공항,LLB,ZULB
Lic. Jesus Teran Peredo International Airport,릭 지저스 테란 페러두 국제공항,AGU,MMAS
Lic. y Gen. Ignacio Lopez Rayon Airport,릭 y 제너럴 이그냐시오 로페즈 라온 공항,UPN,MMPN
Licenciado Gustavo Dia Ordaz International,릭 구스타보 디아 오르다즈 공항,PVR,MMPR
Lichinga Airport,리칭가 공항,VXC,FQLC
Lie Manuel Crescencio Rejon Airport ,리에 마뉴엘 크레센시오 레종 공항 ,MID,MMMD
Liege Airport,리에주 공항,LGG,EBLG
Lienkhang Airport,리엥캥 공항,DLI,VVDL
Lihue Airport,리후에 공항,LIH,PHLI
Lijiang Airport,리장 여강 공항,LJG,ZPLJ
Lilabari Airport,릴라바리 공항,IXI,VELR
Lilongwe International Airport,릴롱궤 국제공항,LLW,FWKI
Limbang Airport,림방 공항,LMN,WBGJ
Limoges - Bellegarde Airport,리모주 벨가르드 공항,LIG,LFBL
Linate Airport ,리나테 공항 ,LIN,LIML
Lincang Airport,린캉 공항,LNJ,ZPLC
Lincoln Municipal Airport,링컨 시공항,LNK,KLNK
Linfen Qiaoli Airport,Linfen Qiaoli 공항,LFQ,ZBLF
Linkoping Airport,린셰핑 공항,LPI,ESSL
Linyi Shubuling Airport,린이슈불링 공항,LYI,ZSLY
Liping Airport,Liping 공항,HZH,ZUNP
Lisboa Airport,리즈보아 공항,LIS,LPPT
Lismore Airport,리스모어 공항,LSY,YLIS
Little Rock National Airport ,리틀록 내셔널 공항,LIT,KLIT
Liupanshui Yuezhao Airport,Liupanshui Yuezhao Airport,LPF,ZUPS
Liuzhou Airport,류저우 공항,LZH,ZGZH
Livingstone Airport,리빙스턴 공항,LVI,FLLI
Loakan Airport,로아칸 공항,BAG,RPUB
Lockhart River Airport,락하트리버스 공항,IRG,YLHR
Loei Airport,로에이 공항,LOE,VTUL
Logan International Airport,로건 국제공항,BOS,KBOS
Lognes Emerainville Airport,노뉴스 에머랭빌 공항,XLG,LFPL
Lohegaon Airport,로헤가온 공항,PNQ,VAPO
Lok Nayak Jaya Prakash Narayan Airport ,록 나약 자야 프라카쉬 나라얀 공항 ,PAT,VEPT
Lombok International Airport,롬복 국제공항,LOP,WADL
Lome-Tokoin Airport,로메 토쿠완 공항,LFW,DXXX
London City Airport,런던 시티 공항,LCY,EGLC
London International Airport,런던 국제공항,YXU,CYXU
Londrina Airport,론드리나 공항,LDB,SBLO
Long Akah Airport,롱 아카 공항,LKH,WBGL
Long Beach Municipal Airport,롱비치 시공항 ,LGB,KLGB
Long Lellang Airport,롱 렐랑 공항,LGL,WBGF
Long Seridan Airport,롱 세리단 공항,ODN,WBGI
Longnan Chengzhou Airport,롱난 청 저우 공항,LNL,ZLLN
Longreach Airport,롱리치 공항,LRE,YLRE
Longyan Guanzhishan Airport,롱 얀관 지산 공항,LCX,ZSLD
Lord Howe Island Airport,로드호바아일랜드 공항,LDH,YLHI
Los Angeles International Airport,로스앤젤레스 국제공항,LAX,KLAX
Los Cabos Airport,로스 카보 공항,SJD,MMSD
Los Colonizadores Airport,로스 콜로니자도레스 공항,RVE,SKSA
Loudes Airport,로드 공항,LPY,LFHP
Louis Armstrong International Airport,루이 암스트롱 국제공항 ,MSY,KMSY
Lozuvatka Airport,루주바크타 공항,KWG,UKDR
Lubang Airport,루방 공항,LBX,RPLU
Lublin Airport,루블린 공항,LUZ,EPLB
Ludao Airport,루다오 공항,GNI,RCG
Luderitz Airport,루데리츠 공항,LUD,FYLZ
Lugano Airport,루가노 공항,LUG,LSZA
Luis E. Magalhaes Airport,루이즈 E. 마갈헤즈 공항,SSA,SBSV
Luiz Munoz Marin International Airport,루이즈 뮈노스 마랭 국제공항,SJU,TJSJ
Luliang Airport,뤼리앙 공항,LLV,ZBLL
Lumbia Airport,룸비아 공항,CGY,RPML
Lungi International Airport,런자이 국제공항,FNA,GFLL
Luoyang Airport,뤄양 공항,LYA,ZHLY
Lusaka International Airport,루사카 국제공항,LUN,FLKK
Luton Airport,루톤 공항,LTN,EGGW
Luxembourg International Airport ,뤽상부르 국제공항 ,LUX,ELLX
Luxor Airport,룩소르 공항,LXR,HELX
Luzhou Lantian Airport,루저우랜티안 공항,LZO,ZULZ
Lycksele Airport,뤽셀레 공항,LYC,ESNL
Lydd International Airport,리드 국제공항,LYX,EGMD
Lyon Bron Airport,리옹 브롱 공항,LYN,LFLY
Maastricht Aachen Airport,마스트리히트 아흐츤 공항,MST,EHBK
Macae Airport,마카에 공항,MEA,SBME
Macao International Airport,마카오 국제공항,MFM,VMMC
Macapa Internacional Airport,마카파 국제공항,MCP,SBMQ
Machangara Airport ,마챵가라 공항 ,PPN,SKPP
Machrihanish Airport,머크리하나쉬 공항,CAL,EGEC
Mackay Airport,매카이 공항,MKY,YBMK
Macon Charnay Airport,마꽁 샤네이 공항,QNX,LFLM
Mactan International Airport,막탄 국제공항,CEB,RPVM
Madeira Airport ,마데이라 공항 ,FNC,LPMA
Madera Municipal Airport,마데라 시공항,MAE,KMAE
Madrid Barajas Airport,마드리드 바라쟈스 공항,MAD,LEMD
Madurai Airport,마두라이 공항,IXM,VOMD
Mae Hong Son Airport,매홍선 공항,HGN,VTCH
Mae Sot Airport,매 솟 공항,MAQ,VTPM
Mafia Airport,마피아 공항,MFA,HTMA
Magaret Ekpo International Airport,매그렛 익포 국제공항,CBQ,DNCA
Magenta Airport,마젠타 공항,GEA,NWWM
Magnitogorsk Airport,마그니토고르스크 공항,MQF,USCM
Magong Airport,마공 공항,MZG,RCQC
Maharana Pratap Airport ,마하나라 프라탑 공항 ,UDR,VAUD
Mahshahr Airport,머샤흐 공항,MRX,OIAM
Maiduguri International Airport,마이두구리 국제공항,MIU,DNMA
Major General FAP Armando Revoredo Iglesias Airport,메이저 제네랄 FAP 아르만도 로베레도 이글레시아스 공항,CJA,SPJR
Makemo Airport,마케모 공항,MKP,NTGM
Makurdi Air Force Base,마쿠르디 공군기지,MDI,DNMK
Mal. Cunha Machado Airport,말 쿤하 마체이도 공항,SLZ,SBSL
Malad City Airport,말라드시티 공항,MLU,KMLU
Malaga Airport,말라가 공항 ,AGP,LEMG
Malatya Erhac Airport,말라티아 에르학 공항,MLX,LTAT
Malay Airport,말레이 공항,MPH,RPVE
Male International Airport,메일 국제공항,MLE,VRMM
Mallam Aminu Kano International Airport,말람 아미뉴 카노 국제공항,KAN,DNKN
Malpensa Airport,말펜사 공항,MXP,LIMC
Malta International Airport ,말타국제공항 ,MLA,LMML
Mambajao Airport,맘바자오 공항,CGM,RPMH
Mamburao Airport,맘부라오 공항,MBO,RPUM
Manas International Airport,만사스 국제공항,FRU,UAFM
Manchester International Airport,맨체스터 국제공항,MAN,EGCC
Manchester-Boston Regional Airport ,맨체스터-보스톤 지역 공항,MHT,KMHT
Mandelieu Airport,만델리 공항,CEQ,LFMD
Mangshi Airport,망시 공항,LUM,ZPMS
Manihi Airport,머나이 공항,XMH,NTGI
Maningrida Airport,마닝그리다 공항,MNG,YMGD
Mano Dayak International Airport,마노다약 국제공항,AJY,DRZA
Manzhouli Xijiao Airport,Manzhouli Xijiao 공항,NZH,ZBMZ
Maota Savail Island Airport,마오타사바일아일랜드 공항,MXS,NSMA
Maotal Airport,마오타이 공항,WMT,ZUMT
Maputo International Airport,마푸토 국제공항,MPM,FQMA
Maraba Airport,마라바 공항,MAB,SBMA
Maradi Airport,마라디 공항,MFQ,DRRM
Marce Airport ,마르세 공항 ,ANE,LFJR
Marcillac Airport,마실략 공항,RDZ,LFCR
Marco Polo International,마르코 폴로 국제공항,VCE,LIPZ
Mardin Airport,마르딘 공항,MQM,LTCR
Marechal Rondon Airport,마레첼 론돈 공항,CGB,SBCY
Maria Montez International Airport,마리아 몬테즈 국제공항,BRX,MDBH
Maria Reiche Neuman Airport,마리아 라이슈 노이만 공항,NZC,SPZA
Maribor Airport,마리보르 공항,MBX,LJMB
Maridor Airport,마리도 공항,MMD,ROMD
Mariehamn Airport,메리함 공항,MHQ,EFMA
Marina di Campo Airport,마리나 디 캄포 공항,EBA,LIRJ
Marinduque Airport,마링두케 공항,MRQ,RPUW
Maripasoula Airport,마리파슬라 공항,MPY,SOOA
Mariscal Lamar Airport,마리스칼 라마르 공항,CUE,SECU
Mariscal Sucre International Airport,마리스칼 수쿠레 국제공항,UIO,SEQM
Markovo Airport,마르코보 공항,KVM,UHMO
